drug pair    KEGG    DrugBank
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00700    [('http://rest.kegg.jp/ddi/D00383\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00604-http://bio2rdf.org/drugbank:DB01072    [('http://rest.kegg.jp/ddi/D00274\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00701    [('http://rest.kegg.jp/ddi/D00184\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00252    [('http://rest.kegg.jp/ddi/D00184\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB04844    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00472-http://bio2rdf.org/drugbank:DB04844    [('http://rest.kegg.jp/ddi/D00823\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00091-http://bio2rdf.org/drugbank:DB00661    [('http://rest.kegg.jp/ddi/D00184\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00363-http://bio2rdf.org/drugbank:DB01215    [('http://rest.kegg.jp/ddi/D00283\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01333-http://bio2rdf.org/drugbank:DB01032    [('http://rest.kegg.jp/ddi/D00264\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00543-http://bio2rdf.org/drugbank:DB00575    [('http://rest.kegg.jp/ddi/D00228\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00424-http://bio2rdf.org/drugbank:DB00843    [('http://rest.kegg.jp/ddi/D00147\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01009-http://bio2rdf.org/drugbank:DB00563    [('http://rest.kegg.jp/ddi/D00132\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB01020-http://bio2rdf.org/drugbank:DB00820    [('http://rest.kegg.jp/ddi/D00630\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00353-http://bio2rdf.org/drugbank:DB00976    [('http://rest.kegg.jp/ddi/D00680\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00563-http://bio2rdf.org/drugbank:DB00573    [('http://rest.kegg.jp/ddi/D00142\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00903-http://bio2rdf.org/drugbank:DB01078    [('http://rest.kegg.jp/ddi/D00313\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00266    [('http://rest.kegg.jp/ddi/D00252\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00976-http://bio2rdf.org/drugbank:DB00216    [('http://rest.kegg.jp/ddi/D01078\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00864-http://bio2rdf.org/drugbank:DB01045    [('http://rest.kegg.jp/ddi/D00107\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00829-http://bio2rdf.org/drugbank:DB00252    [('http://rest.kegg.jp/ddi/D00293\r', None)]    [(None, None)]
http://bio2rdf.org/drugbank:DB00418-http://bio2rdf.org/drugbank:DB00317    [('http://rest.kegg.jp/ddi/D00430\r', None)]    [(None, None)]
