drug pair    SemMedDB    KEGG
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB00683-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00550\r', None)]
http://bio2rdf.org/drugbank:DB04818-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00795-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01119-http://bio2rdf.org/drugbank:DB01119    [(None, None)]    [('http://rest.kegg.jp/ddi/D00294\r', None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB00921    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00371-http://bio2rdf.org/drugbank:DB00683    [(None, None)]    [('http://rest.kegg.jp/ddi/D00376\r', None)]
http://bio2rdf.org/drugbank:DB00883-http://bio2rdf.org/drugbank:DB00883    [(None, None)]    [('http://rest.kegg.jp/ddi/D00516\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB01240    [(None, None)]    [('http://rest.kegg.jp/ddi/D00106\r', None)]
http://bio2rdf.org/drugbank:DB00502-http://bio2rdf.org/drugbank:DB01184    [(None, None)]    [('http://rest.kegg.jp/ddi/D00136\r', None)]
http://bio2rdf.org/drugbank:DB00959-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00407\r', None)]
http://bio2rdf.org/drugbank:DB01124-http://bio2rdf.org/drugbank:DB06150    [(None, None)]    [('http://rest.kegg.jp/ddi/D00380\r', None)]
http://bio2rdf.org/drugbank:DB00544-http://bio2rdf.org/drugbank:DB00544    [(None, None)]    [('http://rest.kegg.jp/ddi/D00584\r', None)]
http://bio2rdf.org/drugbank:DB00898-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB00206-http://bio2rdf.org/drugbank:DB00999    [(None, None)]    [('http://rest.kegg.jp/ddi/D00197\r', None)]
http://bio2rdf.org/drugbank:DB01403-http://bio2rdf.org/drugbank:DB00668    [(None, None)]    [('http://rest.kegg.jp/ddi/D00095\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00206    [(None, None)]    [('http://rest.kegg.jp/ddi/D00197\r', None)]
http://bio2rdf.org/drugbank:DB00714-http://bio2rdf.org/drugbank:DB01100    [(None, None)]    [('http://rest.kegg.jp/ddi/D00560\r', None)]
http://bio2rdf.org/drugbank:DB00695-http://bio2rdf.org/drugbank:DB00368    [(None, None)]    [('http://rest.kegg.jp/ddi/D00076\r', None)]
http://bio2rdf.org/drugbank:DB00783-http://bio2rdf.org/drugbank:DB01420    [(None, None)]    [('http://rest.kegg.jp/ddi/D00105\r', None)]
http://bio2rdf.org/drugbank:DB00305-http://bio2rdf.org/drugbank:DB00563    [(None, None)]    [('http://rest.kegg.jp/ddi/D00142\r', None)]
http://bio2rdf.org/drugbank:DB00887-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00819    [(None, None)]    [('http://rest.kegg.jp/ddi/D00218\r', None)]
http://bio2rdf.org/drugbank:DB00564-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00421-http://bio2rdf.org/drugbank:DB00421    [(None, None)]    [('http://rest.kegg.jp/ddi/D00443\r', None)]
http://bio2rdf.org/drugbank:DB00313-http://bio2rdf.org/drugbank:DB01174    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00624    [(None, None)]    [('http://rest.kegg.jp/ddi/D00075\r', None)]
http://bio2rdf.org/drugbank:DB00747-http://bio2rdf.org/drugbank:DB00295    [(None, None)]    [('http://rest.kegg.jp/ddi/D00138\r', None)]
http://bio2rdf.org/drugbank:DB00575-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00281\r', None)]
http://bio2rdf.org/drugbank:DB00783-http://bio2rdf.org/drugbank:DB00624    [(None, None)]    [('http://rest.kegg.jp/ddi/D00075\r', None)]
http://bio2rdf.org/drugbank:DB00668-http://bio2rdf.org/drugbank:DB00668    [(None, None)]    [('http://rest.kegg.jp/ddi/D00095\r', None)]
http://bio2rdf.org/drugbank:DB01170-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB00640-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [('http://rest.kegg.jp/ddi/D00045\r', None)]
