drug pair    OSCAR    KEGG
http://bio2rdf.org/drugbank:DB00252-http://bio2rdf.org/drugbank:DB00497    [(None, None)]    [('http://rest.kegg.jp/ddi/D00512\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00533    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB00335-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00235\r', None)]
http://bio2rdf.org/drugbank:DB00461-http://bio2rdf.org/drugbank:DB00960    [(None, None)]    [('http://rest.kegg.jp/ddi/D00425\r', None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00880    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00564    [(None, None)]    [('http://rest.kegg.jp/ddi/D00252\r', None)]
http://bio2rdf.org/drugbank:DB00936-http://bio2rdf.org/drugbank:DB00313    [(None, None)]    [('http://rest.kegg.jp/ddi/D00399\r', None)]
http://bio2rdf.org/drugbank:DB00606-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00336\r', None)]
http://bio2rdf.org/drugbank:DB00620-http://bio2rdf.org/drugbank:DB01324    [(None, None)]    [('http://rest.kegg.jp/ddi/D00385\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB00573    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB02266-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00969\r', None)]
http://bio2rdf.org/drugbank:DB00404-http://bio2rdf.org/drugbank:DB00898    [(None, None)]    [('http://rest.kegg.jp/ddi/D00068\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00201    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00880-http://bio2rdf.org/drugbank:DB01016    [(None, None)]    [('http://rest.kegg.jp/ddi/D00336\r', None)]
http://bio2rdf.org/drugbank:DB01233-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB00605-http://bio2rdf.org/drugbank:DB00335    [(None, None)]    [('http://rest.kegg.jp/ddi/D00120\r', None)]
http://bio2rdf.org/drugbank:DB00443-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [('http://rest.kegg.jp/ddi/D00244\r', None)]
http://bio2rdf.org/drugbank:DB01628-http://bio2rdf.org/drugbank:DB00384    [(None, None)]    [('http://rest.kegg.jp/ddi/D00386\r', None)]
http://bio2rdf.org/drugbank:DB00788-http://bio2rdf.org/drugbank:DB00727    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB00501-http://bio2rdf.org/drugbank:DB01193    [(None, None)]    [('http://rest.kegg.jp/ddi/D00295\r', None)]
http://bio2rdf.org/drugbank:DB00482-http://bio2rdf.org/drugbank:DB00214    [(None, None)]    [('http://rest.kegg.jp/ddi/D00382\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00421    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB08807    [(None, None)]    [('http://rest.kegg.jp/ddi/D00437\r', None)]
http://bio2rdf.org/drugbank:DB01115-http://bio2rdf.org/drugbank:DB08808    [(None, None)]    [('http://rest.kegg.jp/ddi/D00437\r', None)]
http://bio2rdf.org/drugbank:DB00573-http://bio2rdf.org/drugbank:DB01197    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01174-http://bio2rdf.org/drugbank:DB00661    [(None, None)]    [('http://rest.kegg.jp/ddi/D00506\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB01021    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00812-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00510\r', None)]
http://bio2rdf.org/drugbank:DB00880-http://bio2rdf.org/drugbank:DB00390    [(None, None)]    [('http://rest.kegg.jp/ddi/D00298\r', None)]
http://bio2rdf.org/drugbank:DB01324-http://bio2rdf.org/drugbank:DB01001    [(None, None)]    [('http://rest.kegg.jp/ddi/D02147\r', None)]
