drug pair    ONCNonInteruptive    KEGG
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00533    [(None, None)]    [('http://rest.kegg.jp/ddi/D00362\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB00612    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB00482    [(None, None)]    [('http://rest.kegg.jp/ddi/D00567\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00712    [(None, None)]    [('http://rest.kegg.jp/ddi/D00330\r', None)]
http://bio2rdf.org/drugbank:DB08808-http://bio2rdf.org/drugbank:DB00401    [(None, None)]    [('http://rest.kegg.jp/ddi/D00618\r', None)]
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00969\r', None)]
http://bio2rdf.org/drugbank:DB00960-http://bio2rdf.org/drugbank:DB01054    [(None, None)]    [('http://rest.kegg.jp/ddi/D00513\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00784    [(None, None)]    [('http://rest.kegg.jp/ddi/D00151\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00749    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01197-http://bio2rdf.org/drugbank:DB00461    [(None, None)]    [('http://rest.kegg.jp/ddi/D00251\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00788    [(None, None)]    [('http://rest.kegg.jp/ddi/D00118\r', None)]
http://bio2rdf.org/drugbank:DB04861-http://bio2rdf.org/drugbank:DB01115    [(None, None)]    [('http://rest.kegg.jp/ddi/D00437\r', None)]
http://bio2rdf.org/drugbank:DB00945-http://bio2rdf.org/drugbank:DB01297    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00991-http://bio2rdf.org/drugbank:DB01203    [(None, None)]    [('http://rest.kegg.jp/ddi/D00432\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00796    [(None, None)]    [('http://rest.kegg.jp/ddi/D00421\r', None)]
http://bio2rdf.org/drugbank:DB00881-http://bio2rdf.org/drugbank:DB00966    [(None, None)]    [('http://rest.kegg.jp/ddi/D00627\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00177    [(None, None)]    [('http://rest.kegg.jp/ddi/D00383\r', None)]
http://bio2rdf.org/drugbank:DB00006-http://bio2rdf.org/drugbank:DB01234    [(None, None)]    [('http://rest.kegg.jp/ddi/D00292\r', None)]
http://bio2rdf.org/drugbank:DB00178-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00328-http://bio2rdf.org/drugbank:DB04861    [(None, None)]    [('http://rest.kegg.jp/ddi/D00141\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB06725    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00606-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00519-http://bio2rdf.org/drugbank:DB00275    [(None, None)]    [('http://rest.kegg.jp/ddi/D00383\r', None)]
http://bio2rdf.org/drugbank:DB00436-http://bio2rdf.org/drugbank:DB00945    [(None, None)]    [('http://rest.kegg.jp/ddi/D00109\r', None)]
http://bio2rdf.org/drugbank:DB00960-http://bio2rdf.org/drugbank:DB00393    [(None, None)]    [('http://rest.kegg.jp/ddi/D00438\r', None)]
http://bio2rdf.org/drugbank:DB01021-http://bio2rdf.org/drugbank:DB00881    [(None, None)]    [('http://rest.kegg.jp/ddi/D00658\r', None)]
http://bio2rdf.org/drugbank:DB00999-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00340\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB00814    [(None, None)]    [('http://rest.kegg.jp/ddi/D00654\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB01050    [(None, None)]    [('http://rest.kegg.jp/ddi/D00126\r', None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB01050    [(None, None)]    [('http://rest.kegg.jp/ddi/D00126\r', None)]
http://bio2rdf.org/drugbank:DB00790-http://bio2rdf.org/drugbank:DB00554    [(None, None)]    [('http://rest.kegg.jp/ddi/D00127\r', None)]
http://bio2rdf.org/drugbank:DB00722-http://bio2rdf.org/drugbank:DB00749    [(None, None)]    [('http://rest.kegg.jp/ddi/D00315\r', None)]
http://bio2rdf.org/drugbank:DB00774-http://bio2rdf.org/drugbank:DB00461    [(None, None)]    [('http://rest.kegg.jp/ddi/D00425\r', None)]
